state,gender,year,name,count
AK,M,2015,Liam,53
AL,M,2015,William,411
AR,M,2015,William,193
AZ,M,2015,Noah,444
CA,M,2015,Noah,2751
CO,M,2015,Liam,305
CT,M,2015,Noah,215
DC,M,2015,William,78
DE,M,2015,Mason,60
FL,M,2015,Liam,1274
GA,M,2015,William,728
HI,M,2015,Noah,77
IA,M,2015,Liam,212
ID,M,2015,Liam,109
IL,M,2015,Noah,863
IN,M,2015,Liam,403
KS,M,2015,Liam,179
KY,M,2015,William,334
LA,M,2015,Noah,294
MA,M,2015,Benjamin,454
MD,M,2015,Noah,386
ME,M,2015,Liam,78
MI,M,2015,Noah,530
MN,M,2015,Henry,392
MO,M,2015,Liam,380
MS,M,2015,William,212
MT,M,2015,William,63
NC,M,2015,William,702
ND,M,2015,Liam,63
NE,M,2015,Henry,127
NH,M,2015,Jackson,85
NJ,M,2015,Liam,569
NM,M,2015,Noah,131
NV,M,2015,Noah,184
NY,M,2015,Liam,1388
OH,M,2015,Liam,688
OK,M,2015,Elijah,213
OR,M,2015,Liam,222
PA,M,2015,Mason,790
RI,M,2015,Noah,72
SC,M,2015,William,357
SD,M,2015,Oliver,62
TN,M,2015,William,522
TX,M,2015,Noah,2147
UT,M,2015,William,309
VA,M,2015,William,549
VT,M,2015,Liam,40
WA,M,2015,Oliver,397
WI,M,2015,Oliver,305
WV,M,2015,Noah,137
WY,M,2015,Liam,38
